Name,Volume,Where,Book_Name,Fullname (from Book_Name),Type,Publisher,Created
Blue Archive 1,1.0,Apartment,Blue Archive,Blue Archive Comic Anthology,Manga,First Page Pro.,2025-03-29 01:32
tawawa 1,1.0,Apartment,tawawa,Getsuyoubi no tawawa,Manga,First Page Pro.,2024-04-02 20:54
tawawa 2,2.0,Apartment,tawawa,Getsuyoubi no tawawa,Manga,First Page Pro.,2024-04-02 20:55
tawawa 3,3.0,Apartment,tawawa,Getsuyoubi no tawawa,Manga,First Page Pro.,2024-04-02 20:55
tawawa 4,4.0,Apartment,tawawa,Getsuyoubi no tawawa,Manga,First Page Pro.,2024-04-02 20:55
tawawa 5,5.0,Apartment,tawawa,Getsuyoubi no tawawa,Manga,First Page Pro.,2024-04-02 20:55
tawawa 6,6.0,Apartment,tawawa,Getsuyoubi no tawawa,Manga,First Page Pro.,2024-04-02 20:55
tawawa 7,7.0,Apartment,tawawa,Getsuyoubi no tawawa,Manga,First Page Pro.,2025-03-29 01:03
tawawa 8,8.0,Apartment,tawawa,Getsuyoubi no tawawa,Manga,First Page Pro.,2025-03-29 20:05
tawawa 9,9.0,Apartment,tawawa,Getsuyoubi no tawawa,Manga,First Page Pro.,2026-01-09 12:02
งานหนังสือต่างโลก 1,1.0,Apartment,งานหนังสือต่างโลก,Mahoutsukai no Insatsujo,Manga,First Page Pro.,2023-12-10 19:18
งานหนังสือต่างโลก 2,2.0,Apartment,งานหนังสือต่างโลก,Mahoutsukai no Insatsujo,Manga,First Page Pro.,2023-12-10 19:18
งานหนังสือต่างโลก 3,3.0,Apartment,งานหนังสือต่างโลก,Mahoutsukai no Insatsujo,Manga,First Page Pro.,2023-12-10 19:18
งานหนังสือต่างโลก 4,4.0,Apartment,งานหนังสือต่างโลก,Mahoutsukai no Insatsujo,Manga,First Page Pro.,2023-12-10 19:18
งานหนังสือต่างโลก 5,5.0,Apartment,งานหนังสือต่างโลก,Mahoutsukai no Insatsujo,Manga,First Page Pro.,2023-12-10 19:18
งานหนังสือต่างโลก 6,6.0,Apartment,งานหนังสือต่างโลก,Mahoutsukai no Insatsujo,Manga,First Page Pro.,2023-12-10 19:18
เทคนี้ที่ผมถ่าย 1,1.0,Apartment,เทคนี้ที่ผมถ่าย,เทคนี้ที่ผมถ่ายเป็นเรื่องน่าอายที่เธอไม่คัท,Manga,First Page Pro.,2024-04-02 20:53
เทคนี้ที่ผมถ่าย 2,2.0,Apartment,เทคนี้ที่ผมถ่าย,เทคนี้ที่ผมถ่ายเป็นเรื่องน่าอายที่เธอไม่คัท,Manga,First Page Pro.,2024-04-02 20:54
เทคนี้ที่ผมถ่าย 3,3.0,Apartment,เทคนี้ที่ผมถ่าย,เทคนี้ที่ผมถ่ายเป็นเรื่องน่าอายที่เธอไม่คัท,Manga,First Page Pro.,2024-04-02 20:54
เทคนี้ที่ผมถ่าย 4,4.0,Apartment,เทคนี้ที่ผมถ่าย,เทคนี้ที่ผมถ่ายเป็นเรื่องน่าอายที่เธอไม่คัท,Manga,First Page Pro.,2024-04-02 20:54
เทคนี้ที่ผมถ่าย 5,5.0,Apartment,เทคนี้ที่ผมถ่าย,เทคนี้ที่ผมถ่ายเป็นเรื่องน่าอายที่เธอไม่คัท,Manga,First Page Pro.,2024-04-02 20:54
เทคนี้ที่ผมถ่าย 6,6.0,Apartment,เทคนี้ที่ผมถ่าย,เทคนี้ที่ผมถ่ายเป็นเรื่องน่าอายที่เธอไม่คัท,Manga,First Page Pro.,2025-03-29 01:02
เทคนี้ที่ผมถ่าย 7,7.0,Apartment,เทคนี้ที่ผมถ่าย,เทคนี้ที่ผมถ่ายเป็นเรื่องน่าอายที่เธอไม่คัท,Manga,First Page Pro.,2025-03-29 20:04
เทคนี้ที่ผมถ่าย 8,8.0,Apartment,เทคนี้ที่ผมถ่าย,เทคนี้ที่ผมถ่ายเป็นเรื่องน่าอายที่เธอไม่คัท,Manga,First Page Pro.,2025-03-29 20:04
เทคนี้ที่ผมถ่าย 9,9.0,Apartment,เทคนี้ที่ผมถ่าย,เทคนี้ที่ผมถ่ายเป็นเรื่องน่าอายที่เธอไม่คัท,Manga,First Page Pro.,2026-01-09 12:03
เทคนี้ที่ผมถ่าย 10,10.0,Apartment,เทคนี้ที่ผมถ่าย,เทคนี้ที่ผมถ่ายเป็นเรื่องน่าอายที่เธอไม่คัท,Manga,First Page Pro.,2026-01-09 12:03
Arifureta 1,1.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2023-12-10 13:59
Arifureta 2,2.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2023-12-10 18:21
Arifureta 3,3.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2023-12-10 18:21
Arifureta 4,4.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2023-12-10 18:22
Arifureta 5,5.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2023-12-10 18:22
Arifureta 6,6.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2023-12-10 18:22
Arifureta 7,7.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2023-12-10 18:22
Arifureta 8,8.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2023-12-10 18:22
Arifureta 8,8.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2023-12-10 19:33
Arifureta 9,9.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2023-12-10 18:23
Arifureta 10,10.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2023-12-10 18:23
Arifureta 11,11.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2023-12-10 18:23
Arifureta 12,12.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2023-12-10 18:23
Arifureta 13,13.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2023-12-10 18:23
Arifureta 14,14.0,Apartment,Arifureta,Arifureta Shokugyou de Sekai Saikyou,Light Novel,First Page Pro.,2026-01-09 12:04
Arifureta Zero 1,1.0,Apartment,Arifureta Zero,Arifureta Shokugyou de Sekai Saikyou Zero,Light Novel,First Page Pro.,2023-12-10 19:38
Arifureta Zero 2,2.0,Apartment,Arifureta Zero,Arifureta Shokugyou de Sekai Saikyou Zero,Light Novel,First Page Pro.,2025-03-29 00:38
Arifureta Zero 3,3.0,Apartment,Arifureta Zero,Arifureta Shokugyou de Sekai Saikyou Zero,Light Novel,First Page Pro.,2025-03-29 00:38
Mira-san 1,1.0,Home,Mira-san,Kenja no Deshi wo Nanoru Kenja,Light Novel,First Page Pro.,2023-12-10 19:49
Mira-san 2,2.0,Home,Mira-san,Kenja no Deshi wo Nanoru Kenja,Light Novel,First Page Pro.,2023-12-10 19:49
Mira-san 3,3.0,Home,Mira-san,Kenja no Deshi wo Nanoru Kenja,Light Novel,First Page Pro.,2023-12-10 19:49
Mira-san 4,4.0,Home,Mira-san,Kenja no Deshi wo Nanoru Kenja,Light Novel,First Page Pro.,2023-12-10 19:49
Mira-san 5,5.0,Home,Mira-san,Kenja no Deshi wo Nanoru Kenja,Light Novel,First Page Pro.,2023-12-10 19:49
Mira-san 6,6.0,Home,Mira-san,Kenja no Deshi wo Nanoru Kenja,Light Novel,First Page Pro.,2023-12-10 19:35
Mira-san 7,7.0,Home,Mira-san,Kenja no Deshi wo Nanoru Kenja,Light Novel,First Page Pro.,2024-04-02 10:43
Mira-san 8,8.0,Home,Mira-san,Kenja no Deshi wo Nanoru Kenja,Light Novel,First Page Pro.,2024-04-02 10:43
เกิดใหม่เป็นดาบ 1,1.0,Home,เกิดใหม่เป็นดาบ,Tensei Shitara Ken Deshita,Light Novel,First Page Pro.,2023-12-10 19:53
เกิดใหม่เป็นดาบ 2,2.0,Home,เกิดใหม่เป็นดาบ,Tensei Shitara Ken Deshita,Light Novel,First Page Pro.,2023-12-10 19:53
เกิดใหม่เป็นดาบ 3,3.0,Home,เกิดใหม่เป็นดาบ,Tensei Shitara Ken Deshita,Light Novel,First Page Pro.,2023-12-10 19:38
น้องสาวเพื่อน 1,1.0,Home,น้องสาวเพื่อน,Tomodachi no Imōto ga Ore ni Dake Uzai,Light Novel,First Page Pro.,2023-12-10 19:55
น้องสาวเพื่อน 2,2.0,Home,น้องสาวเพื่อน,Tomodachi no Imōto ga Ore ni Dake Uzai,Light Novel,First Page Pro.,2023-12-10 19:39
น้องสาวเพื่อน 3,3.0,Apartment,น้องสาวเพื่อน,Tomodachi no Imōto ga Ore ni Dake Uzai,Light Novel,First Page Pro.,2024-04-02 10:45
ฝาแฝด 1,1.0,Home,ฝาแฝด,เป็นแฟนกับฝาแฝดทั้งสองคนเลยไหม,Light Novel,First Page Pro.,2025-03-29 20:21
ฝาแฝด 2,2.0,Home,ฝาแฝด,เป็นแฟนกับฝาแฝดทั้งสองคนเลยไหม,Light Novel,First Page Pro.,2025-03-29 20:21
ฝาแฝด 3,3.0,Apartment,ฝาแฝด,เป็นแฟนกับฝาแฝดทั้งสองคนเลยไหม,Light Novel,First Page Pro.,2026-01-09 12:05
ฝาแฝด 4,4.0,Apartment,ฝาแฝด,เป็นแฟนกับฝาแฝดทั้งสองคนเลยไหม,Light Novel,First Page Pro.,2026-01-09 12:05
เพื่อนพระเอก 1,1.0,Home,เพื่อนพระเอก,Yuujin Chara no Ore ga Motemakuru Wakenaidaro?,Light Novel,First Page Pro.,2023-12-10 19:53
เพื่อนพระเอก 2,2.0,Home,เพื่อนพระเอก,Yuujin Chara no Ore ga Motemakuru Wakenaidaro?,Light Novel,First Page Pro.,2023-12-10 19:53
เพื่อนพระเอก 3,3.0,Home,เพื่อนพระเอก,Yuujin Chara no Ore ga Motemakuru Wakenaidaro?,Light Novel,First Page Pro.,2023-12-10 19:53
เพื่อนพระเอก 4,4.0,Home,เพื่อนพระเอก,Yuujin Chara no Ore ga Motemakuru Wakenaidaro?,Light Novel,First Page Pro.,2023-12-10 19:53
เพื่อนพระเอก 5,5.0,Home,เพื่อนพระเอก,Yuujin Chara no Ore ga Motemakuru Wakenaidaro?,Light Novel,First Page Pro.,2023-12-10 19:38
อัศวินกระดูก 1,1.0,Home,อัศวินกระดูก,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekake-chuu",Light Novel,First Page Pro.,2023-12-10 19:50
อัศวินกระดูก 2,2.0,Home,อัศวินกระดูก,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekake-chuu",Light Novel,First Page Pro.,2023-12-10 19:50
อัศวินกระดูก 3,3.0,Home,อัศวินกระดูก,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekake-chuu",Light Novel,First Page Pro.,2023-12-10 19:50
อัศวินกระดูก 4,4.0,Home,อัศวินกระดูก,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekake-chuu",Light Novel,First Page Pro.,2023-12-10 19:36
อัศวินกระดูก 5,5.0,Home,อัศวินกระดูก,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekake-chuu",Light Novel,First Page Pro.,2024-04-02 10:47
อัศวินกระดูก 6,6.0,Home,อัศวินกระดูก,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekake-chuu",Light Novel,First Page Pro.,2024-04-02 18:01
อัศวินกระดูก 6,6.0,Apartment,อัศวินกระดูก,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekake-chuu",Light Novel,First Page Pro.,2024-04-02 18:01
Elden Ring 1,1.0,Apartment,Elden Ring,Elden Ring ฮา,Manga,Phoenix Next,2025-03-29 01:41
Elden Ring 2,2.0,Apartment,Elden Ring,Elden Ring ฮา,Manga,Phoenix Next,2025-03-29 01:41
Elden Ring 3,3.0,Apartment,Elden Ring,Elden Ring ฮา,Manga,Phoenix Next,2025-03-29 01:41
Elden Ring 4,4.0,Apartment,Elden Ring,Elden Ring ฮา,Manga,Phoenix Next,2025-03-29 19:12
Fate/Go Comic 1,1.0,Home,Fate/Go Comic,Fate Grand Order Comic A la carte,Manga,Phoenix Next,2023-12-10 19:50
Fate/Go Comic 2,2.0,Home,Fate/Go Comic,Fate Grand Order Comic A la carte,Manga,Phoenix Next,2023-12-10 19:50
Fate/Go Comic 3,3.0,Home,Fate/Go Comic,Fate Grand Order Comic A la carte,Manga,Phoenix Next,2023-12-10 19:50
Fate/Go Comic 4,4.0,Home,Fate/Go Comic,Fate Grand Order Comic A la carte,Manga,Phoenix Next,2023-12-10 19:50
Fate/Go Comic 5,5.0,Home,Fate/Go Comic,Fate Grand Order Comic A la carte,Manga,Phoenix Next,2023-12-10 19:50
Fate/Go Comic 6,6.0,Home,Fate/Go Comic,Fate Grand Order Comic A la carte,Manga,Phoenix Next,2023-12-10 19:50
Fate/Go Comic 7,7.0,Home,Fate/Go Comic,Fate Grand Order Comic A la carte,Manga,Phoenix Next,2023-12-10 19:50
Fate/Go Comic 8,8.0,Home,Fate/Go Comic,Fate Grand Order Comic A la carte,Manga,Phoenix Next,2023-12-10 19:50
Fate/Go Comic 9,9.0,Home,Fate/Go Comic,Fate Grand Order Comic A la carte,Manga,Phoenix Next,2023-12-10 19:35
Sasayaku 1,1.0,Apartment,Sasayaku,Sasayaku You ni Koi o Utau,Manga,Phoenix Next,2025-03-29 01:31
Sasayaku 2,2.0,Apartment,Sasayaku,Sasayaku You ni Koi o Utau,Manga,Phoenix Next,2025-03-29 01:31
Sasayaku 3,3.0,Apartment,Sasayaku,Sasayaku You ni Koi o Utau,Manga,Phoenix Next,2025-03-29 01:31
Sasayaku 4,4.0,Apartment,Sasayaku,Sasayaku You ni Koi o Utau,Manga,Phoenix Next,2025-03-29 01:31
Sasayaku 5,5.0,Apartment,Sasayaku,Sasayaku You ni Koi o Utau,Manga,Phoenix Next,2025-03-29 01:31
Sasayaku 6,6.0,Apartment,Sasayaku,Sasayaku You ni Koi o Utau,Manga,Phoenix Next,2025-03-29 01:31
Sasayaku 7,7.0,Apartment,Sasayaku,Sasayaku You ni Koi o Utau,Manga,Phoenix Next,2025-03-29 01:31
Sasayaku 8,8.0,Apartment,Sasayaku,Sasayaku You ni Koi o Utau,Manga,Phoenix Next,2025-03-29 01:31
Sasayaku 9,9.0,Apartment,Sasayaku,Sasayaku You ni Koi o Utau,Manga,Phoenix Next,2025-03-29 01:31
Sasayaku 10,10.0,Apartment,Sasayaku,Sasayaku You ni Koi o Utau,Manga,Phoenix Next,2025-03-29 19:15
Solo Leveling 1,1.0,Apartment,Solo Leveling,Solo Leveling,Manga,Phoenix Next,2024-04-02 20:56
Solo Leveling 2,2.0,Apartment,Solo Leveling,Solo Leveling,Manga,Phoenix Next,2024-04-02 20:56
Solo Leveling 3,3.0,Apartment,Solo Leveling,Solo Leveling,Manga,Phoenix Next,2024-04-02 20:56
Solo Leveling 4,4.0,Apartment,Solo Leveling,Solo Leveling,Manga,Phoenix Next,2024-04-02 20:56
Solo Leveling 5,5.0,Apartment,Solo Leveling,Solo Leveling,Manga,Phoenix Next,2024-04-02 20:56
Solo Leveling 6,6.0,Apartment,Solo Leveling,Solo Leveling,Manga,Phoenix Next,2024-04-02 20:56
Solo Leveling 7,7.0,Apartment,Solo Leveling,Solo Leveling,Manga,Phoenix Next,2024-04-02 20:56
Solo Leveling 8,8.0,Apartment,Solo Leveling,Solo Leveling,Manga,Phoenix Next,2024-04-02 20:56
โกคุราคุไก 1,1.0,Apartment,โกคุราคุไก,Gokurakugai,Manga,Phoenix Next,2024-01-02 19:48
โกคุราคุไก 2,2.0,Apartment,โกคุราคุไก,Gokurakugai,Manga,Phoenix Next,2024-01-02 19:48
โกคุราคุไก 3,3.0,Apartment,โกคุราคุไก,Gokurakugai,Manga,Phoenix Next,2025-03-29 01:08
โกคุราคุไก 4,4.0,Apartment,โกคุราคุไก,Gokurakugai,Manga,Phoenix Next,2025-03-29 19:14
โกคุราคุไก 5,5.0,Apartment,โกคุราคุไก,Gokurakugai,Manga,Phoenix Next,2026-01-09 12:07
ชีวิตไม่ง่ายของนางร้าย 99 1,1.0,Home,ชีวิตไม่ง่ายของนางร้าย 99,Akuyaku Reijou Reberu 99: Watashi wa Ura Bosudesuga Maou de wa Arimasen,Manga,Phoenix Next,2023-12-10 19:56
ชีวิตไม่ง่ายของนางร้าย 99 2,2.0,Home,ชีวิตไม่ง่ายของนางร้าย 99,Akuyaku Reijou Reberu 99: Watashi wa Ura Bosudesuga Maou de wa Arimasen,Manga,Phoenix Next,2023-12-10 19:40
ชีวิตไม่ง่ายของนางร้าย 99 3,3.0,Apartment,ชีวิตไม่ง่ายของนางร้าย 99,Akuyaku Reijou Reberu 99: Watashi wa Ura Bosudesuga Maou de wa Arimasen,Manga,Phoenix Next,2024-04-02 20:44
ดอกรัก 1,1.0,Apartment,ดอกรัก,ดอกรักผลิบานที่กลางใจ,Manga,Phoenix Next,2026-01-09 12:17
ดอกรัก 2,2.0,Apartment,ดอกรัก,ดอกรักผลิบานที่กลางใจ,Manga,Phoenix Next,2026-01-09 12:17
ดอกรัก 3,3.0,Apartment,ดอกรัก,ดอกรักผลิบานที่กลางใจ,Manga,Phoenix Next,2026-01-09 12:17
ดอกรัก 4,4.0,Apartment,ดอกรัก,ดอกรักผลิบานที่กลางใจ,Manga,Phoenix Next,2026-01-09 12:17
ดอกรัก 5,5.0,Apartment,ดอกรัก,ดอกรักผลิบานที่กลางใจ,Manga,Phoenix Next,2026-01-09 12:17
ดอกรัก 6,6.0,Apartment,ดอกรัก,ดอกรักผลิบานที่กลางใจ,Manga,Phoenix Next,2026-01-09 12:17
ดอกรัก 7,7.0,Apartment,ดอกรัก,ดอกรักผลิบานที่กลางใจ,Manga,Phoenix Next,2026-01-09 12:17
ดอกรัก 8,8.0,Apartment,ดอกรัก,ดอกรักผลิบานที่กลางใจ,Manga,Phoenix Next,2026-01-09 12:17
ดอกรัก 9,9.0,Apartment,ดอกรัก,ดอกรักผลิบานที่กลางใจ,Manga,Phoenix Next,2026-01-09 12:17
ดอกรัก 10,10.0,Apartment,ดอกรัก,ดอกรักผลิบานที่กลางใจ,Manga,Phoenix Next,2026-01-09 12:17
ดอกรัก 11,11.0,Apartment,ดอกรัก,ดอกรักผลิบานที่กลางใจ,Manga,Phoenix Next,2026-01-09 12:18
ดอกรัก 12,12.0,Apartment,ดอกรัก,ดอกรักผลิบานที่กลางใจ,Manga,Phoenix Next,2026-01-09 12:18
