Name,Fullname,Status,Type,Publisher,Volumes,LookupVol,LastestVol
Arifureta,Arifureta Shokugyou de Sekai Saikyou,End,Light Novel,First Page Pro.,"Arifureta 1,Arifureta 2,Arifureta 3,Arifureta 4,Arifureta 5,Arifureta 6,Arifureta 7,Arifureta 8,Arifureta 9,Arifureta 10,Arifureta 11,Arifureta 12,Arifureta 13,Arifureta 8,Arifureta 14","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 8, 14",14
Slave,Mato Seihei no Slave,Ongoing,Manga,Siam Inter Comic,"Slave 1,Slave 2,Slave 3,Slave 4,Slave 5,Slave 6,Slave 7,Slave 8,Slave 9,Slave 10,Slave 11,Slave 12,Slave 13,Slave 14,Slave 15,Slave 16,Slave 17,Slave 18","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",18
Aria-san,Tokidoki Bosotto Roshiago de Dereru Tonari no Aria-san,Ongoing,Light Novel,Phoenix Next,"Aria-san 1,Aria-san 2,Aria-san 3,Aria-san 4,Aria-san 5,Aria-san 6,Aria-san 4.5,Aria-san 7,Aria-san 8,Aria-san 9","1, 2, 3, 4, 5, 6, 5, 7, 8, 9",9
งานหนังสือต่างโลก,Mahoutsukai no Insatsujo,End,Manga,First Page Pro.,"งานหนังสือต่างโลก 1,งานหนังสือต่างโลก 2,งานหนังสือต่างโลก 3,งานหนังสือต่างโลก 4,งานหนังสือต่างโลก 5,งานหนังสือต่างโลก 6","1, 2, 3, 4, 5, 6",6
Elaina-san,Majo no Tabitabi,Ongoing,Light Novel,Animag,"Elaina-san 7,Elaina-san 1,Elaina-san 2,Elaina-san 3,Elaina-san 4,Elaina-san 5,Elaina-san 6,Elaina-san 8,Elaina-san 9,Elaina-san 10","7, 1, 2, 3, 4, 5, 6, 8, 9, 10",10
Slime 300 years,"Suraimu Taoshite Sanbyaku-nen, Shiranai Uchi ni Reberu Makkusu ni Nattemashita",Ongoing,Light Novel,Animag,"Slime 300 years 8,Slime 300 years 1,Slime 300 years 2,Slime 300 years 3,Slime 300 years 4,Slime 300 years 5,Slime 300 years 6,Slime 300 years 7","8, 1, 2, 3, 4, 5, 6, 7",8
Arifureta Zero,Arifureta Shokugyou de Sekai Saikyou Zero,Ongoing,Light Novel,First Page Pro.,"Arifureta Zero 1,Arifureta Zero 2,Arifureta Zero 3","1, 2, 3",3
Mira-san,Kenja no Deshi wo Nanoru Kenja,Ongoing,Light Novel,First Page Pro.,"Mira-san 6,Mira-san 1,Mira-san 2,Mira-san 3,Mira-san 4,Mira-san 5,Mira-san 7,Mira-san 8","6, 1, 2, 3, 4, 5, 7, 8",8
ให้เป็นแฟนได้ไง ไม่ไหวหรอก,"Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?)",Ongoing,Light Novel,Animag,"ให้เป็นแฟนได้ไง ไม่ไหวหรอก 2,ให้เป็นแฟนได้ไง ไม่ไหวหรอก 1,ให้เป็นแฟนได้ไง ไม่ไหวหรอก 3,ให้เป็นแฟนได้ไง ไม่ไหวหรอก 4,ให้เป็นแฟนได้ไง ไม่ไหวหรอก 5,ให้เป็นแฟนได้ไง ไม่ไหวหรอก 6","2, 1, 3, 4, 5, 6",6
แง้มหัวใจยัยน้องสาวจำเป็น,Gimai Seikatsu,Ongoing,Light Novel,Phoenix Next,"แง้มหัวใจยัยน้องสาวจำเป็น 3,แง้มหัวใจยัยน้องสาวจำเป็น 1,แง้มหัวใจยัยน้องสาวจำเป็น 2,แง้มหัวใจยัยน้องสาวจำเป็น 4,แง้มหัวใจยัยน้องสาวจำเป็น 5,แง้มหัวใจยัยน้องสาวจำเป็น 6,แง้มหัวใจยัยน้องสาวจำเป็น 7,แง้มหัวใจยัยน้องสาวจำเป็น 8,แง้มหัวใจยัยน้องสาวจำเป็น 9","3, 1, 2, 4, 5, 6, 7, 8, 9",9
ห้องเรียนจารชน,Supai Kyoushitsu,Ongoing,Light Novel,Phoenix Next,"ห้องเรียนจารชน 5,ห้องเรียนจารชน 1,ห้องเรียนจารชน 2,ห้องเรียนจารชน 3,ห้องเรียนจารชน 4,ห้องเรียนจารชน 6,ห้องเรียนจารชน 7,ห้องเรียนจารชน 8,ห้องเรียนจารชน 9,ห้องเรียนจารชน 10,ห้องเรียนจารชน 11,ห้องเรียนจารชน 12","5, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12",12
นักสืบตายแล้ว,"Tantei wa Mou, Shinde Iru",Ongoing,Light Novel,Phoenix Next,"นักสืบตายแล้ว 5,นักสืบตายแล้ว 1,นักสืบตายแล้ว 2,นักสืบตายแล้ว 3,นักสืบตายแล้ว 4,นักสืบตายแล้ว 6,นักสืบตายแล้ว 7","5, 1, 2, 3, 4, 6, 7",7
Silent Witch,Chinmoku Moku no Majo no Kakushigoto,Ongoing,Light Novel,Phoenix Next,"Silent Witch 3,Silent Witch 1,Silent Witch 2,Silent Witch 4,Silent Witch 4.5,Silent Witch 5,Silent Witch 6,Silent Witch 8","3, 1, 2, 4, 5, 5, 6, 8",8
Eighty Six,86,Ongoing,Light Novel,Phoenix Next,"Eighty Six 1,Eighty Six 2,Eighty Six 3","1, 2, 3",3
